"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-30"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 광진구 구의동","246-14","0246","0014","크레신타워3차","25.3500","202412","30","17,000","13","개인","개인","2006","아차산로 375","-","중개거래","서울 광진구"
"2","서울특별시 은평구 역촌동","2-1","0002","0001","고도아파트","30.0000","202412","30","25,000","2","개인","개인","2021","서오릉로 119","-","직거래","-"
"3","서울특별시 양천구 목동","907","0907","0000","현대월드타워","38.2200","202412","30","21,000","19","개인","개인","1999","목동서로 77","-","중개거래","서울 양천구"
"4","서울특별시 마포구 도화동","571","0571","0000","나눔빌딩","26.2500","202412","30","23,000","13","개인","개인","2015","도화길 43","-","중개거래","서울 마포구"
"5","서울특별시 노원구 중계동","506","0506","0000","(506)","72.4500","202412","30","46,500","9","개인","개인","2005","동일로203가길 29","-","중개거래","서울 노원구"
"6","서울특별시 영등포구 당산동5가","9-3","0009","0003","당산역해링턴타워","23.9200","202412","30","21,950","9","개인","개인","2015"," ","-","중개거래","서울 영등포구"
"7","서울특별시 강남구 대치동","891-26","0891","0026","대치동대우아이빌멤버스","35.4260","202412","30","34,500","4","개인","개인","2003","삼성로85길 42","-","중개거래","서울 강남구"
"8","서울특별시 광진구 화양동","17-68","0017","0068","세종에버그린","35.4900","202412","30","27,000","3","개인","개인","2018","광나루로16길 19","-","중개거래","서울 광진구"
"9","서울특별시 서초구 서초동","1542-6","1542","0006","현대이에스에이2아파트","81.4400","202412","30","88,500","2","법인","법인","2003","반포대로 122","-","중개거래","서울 서초구"
"10","서울특별시 서초구 서초동","1542-6","1542","0006","현대이에스에이2아파트","43.9700","202412","30","51,000","2","법인","개인","2003","반포대로 122","-","중개거래","서울 서초구"
"11","서울특별시 구로구 구로동","512-2","0512","0002","하이빌골드타워","41.4300","202412","30","31,000","5","개인","개인","2019","구로중앙로 107","-","중개거래","서울 구로구"
"12","서울특별시 강남구 역삼동","831-40","0831","0040","역삼SK허브블루","28.1200","202412","30","17,000","2","개인","개인","2004","역삼로3길 7","-","중개거래","서울 강남구"
"13","서울특별시 서초구 서초동","1303-35","1303","0035","강남태영데시앙루브","32.5700","202412","30","32,400","7","개인","개인","2005","강남대로 455","-","중개거래","서울 서초구"
"14","서울특별시 강남구 논현동","209","0209","0000","삼환 아르누보 3","25.8500","202412","30","28,000","6","개인","개인","2005","학동로 224","-","직거래","-"
"15","서울특별시 강남구 역삼동","719-24","0719","0024","역삼역센트럴푸르지오시티","17.5730","202412","30","21,500","17","개인","개인","2019","언주로85길 32","20250207","중개거래","서울 강남구"
"16","서울특별시 관악구 봉천동","869-6","0869","0006","서울대역 마에스트로","14.6700","202412","30","9,500","12","개인","개인","2012","남부순환로218길 1","-","중개거래","서울 관악구"
