,NO,시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세금(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),구
4,5,서울특별시 동대문구 답십리동,497-23,497,23,청계 푸르지오시티,전세,20.62,2023-12-01,30,13000,0,11,2015.0,천호대로 257,202401~202601,갱신,-,"3,000",45.0,동대문구
5,6,서울특별시 도봉구 창동,749-15,749,15,라르플레이스2단지,전세,29.16,2023-12-01,30,18600,0,6,2019.0,도봉로136길 19,202401~202601,신규,-,0,,도봉구
6,7,서울특별시 중랑구 신내동,835,835,0,베네스트로프트(BENEST LOFT),전세,27.79,2023-12-01,30,18000,0,17,2021.0,용마산로 636,202312~202512,갱신,-,"18,000",0.0,중랑구
13,14,서울특별시 동대문구 전농동,620-15,620,15,청량리역 우남SL타워300,전세,18.43,2023-12-01,30,21000,0,18,2023.0,왕산로 186,202401~202601,신규,-,0,,동대문구
16,17,서울특별시 도봉구 창동,749-15,749,15,라르플레이스2단지,전세,29.16,2023-12-01,30,18600,0,3,2019.0,도봉로136길 19,-,신규,-,0,,도봉구
29,30,서울특별시 은평구 불광동,281-141,281,141,두진 아이브,전세,47.47,2023-12-01,30,27000,0,3,2015.0,통일로66길 6-7,202402~202602,신규,-,0,,은평구
33,34,서울특별시 용산구 청파동3가,80-6,80,6,용산 다올 노블리움,전세,18.04,2023-12-01,30,19950,0,12,2020.0,청파로 251,202402~202602,신규,-,0,,용산구
35,36,서울특별시 용산구 한강로1가,50-1,50,1,용산파크자이,전세,31.83,2023-12-01,30,30000,0,17,2005.0,한강대로 205,202312~202512,갱신,-,"30,000",0.0,용산구
37,38,서울특별시 중랑구 망우동,584,584,0,신내역 프라디움 더 테라스,전세,84.94,2023-12-01,30,39000,0,23,2023.0,용마산로 670,-,신규,-,0,,중랑구
39,40,서울특별시 광진구 화양동,193,193,0,하이뷰오피스텔,전세,18.43,2023-12-01,30,23000,0,11,2020.0,광나루로 386,-,신규,-,0,,광진구
40,41,서울특별시 광진구 화양동,527,527,0,KCC파크타운,전세,25.79,2023-12-01,30,16000,0,15,2005.0,광나루로 410,202402~202602,신규,-,0,,광진구
45,46,서울특별시 광진구 광장동,108,108,0,효성리버카운티,전세,24.04,2023-12-01,30,12000,0,11,2003.0,아차산로78길 56,202403~202603,신규,-,0,,광진구
46,47,서울특별시 종로구 창신동,255-1,255,1,(255-1),전세,15.59,2023-12-01,30,21400,0,7,2021.0,지봉로 37-29,202401~202601,신규,-,0,,종로구
50,51,서울특별시 은평구 대조동,197-1,197,1,유진 아이디움,전세,17.14,2023-12-01,30,13600,0,5,2019.0,연서로28길 8,202401~202601,갱신,-,"12,600",0.0,은평구
56,57,서울특별시 광진구 자양동,2-2,2,2,건대입구역자이엘라,전세,18.1,2023-12-01,30,21000,0,9,2022.0,능동로 87,-,갱신,-,"20,000",0.0,광진구
57,58,서울특별시 동대문구 전농동,620-6,620,6,청량리역 렉스프라임,전세,18.44,2023-12-01,30,20500,0,4,2023.0,왕산로 190,-,신규,-,0,,동대문구
58,59,서울특별시 중구 황학동,1153,1153,0,청계아델리아 II,전세,46.22,2023-12-01,30,38000,0,12,2022.0,마장로 113,202402~202602,신규,-,0,,중구
59,60,서울특별시 중구 황학동,970,970,0,다베로,전세,45.84,2023-12-01,30,44000,0,3,2021.0,난계로13길 10-5,202401~202601,신규,-,0,,중구
61,62,서울특별시 종로구 숭인동,217-16,217,16,블루카운티 숭인Ⅰ,전세,27.03,2023-12-01,30,24000,0,8,2020.0,종로62길 23,202402~202602,신규,-,0,,종로구
62,63,서울특별시 도봉구 방학동,711-1,711,1,방학신화 하니엘시티,전세,15.78,2023-12-01,30,13000,0,5,2021.0,노해로63가길 229,-,신규,-,0,,도봉구
63,64,서울특별시 은평구 응암동,88-8,88,8,응암아네스트,전세,19.66,2023-12-01,30,11500,0,6,2014.0,은평로 123,202402~202602,신규,-,0,,은평구
70,71,서울특별시 강서구 등촌동,63-12,63,12,어위쉬 예다인,전세,78.78,2023-12-01,30,38000,0,14,2008.0,양천로 452,202401~202601,신규,-,0,,강서구
71,72,서울특별시 강서구 등촌동,685,685,0,경동미르웰양천향교2차,전세,29.68,2023-12-01,30,25600,0,7,2020.0,강서로56가길 166,202401~202601,신규,-,0,,강서구
72,73,서울특별시 서대문구 합동,117,117,0,충정로대우디오빌,전세,61.22,2023-12-01,30,40000,0,6,2006.0,서소문로 37,202401~202601,신규,-,0,,서대문구
73,74,서울특별시 강서구 등촌동,828,828,0,(115-6),전세,13.92,2023-12-01,30,15000,0,2,2020.0,강서로74길 52,-,신규,-,0,,강서구
75,76,서울특별시 강서구 등촌동,633-24,633,24,등촌동 Y HAUS 오피스텔,전세,28.3,2023-12-01,30,27200,0,15,2020.0,공항대로59다길 39,202401~202601,신규,-,0,,강서구
81,82,서울특별시 강서구 화곡동,987-1,987,1,강서구청 파크뷰 에버,전세,15.43,2023-12-01,30,14000,0,11,2020.0,화곡로 297,202401~202601,신규,-,0,,강서구
