,구,전용면적(㎡),보증금(만원),계약년월,계약일,건축년도,계약구분,도로명,종전계약 보증금(만원)
4,동대문구,20.62,13000,2023-12-01,30,2015.0,갱신,천호대로 257,"3,000"
5,도봉구,29.16,18600,2023-12-01,30,2019.0,신규,도봉로136길 19,0
6,중랑구,27.79,18000,2023-12-01,30,2021.0,갱신,용마산로 636,"18,000"
13,동대문구,18.43,21000,2023-12-01,30,2023.0,신규,왕산로 186,0
16,도봉구,29.16,18600,2023-12-01,30,2019.0,신규,도봉로136길 19,0
29,은평구,47.47,27000,2023-12-01,30,2015.0,신규,통일로66길 6-7,0
33,용산구,18.04,19950,2023-12-01,30,2020.0,신규,청파로 251,0
35,용산구,31.83,30000,2023-12-01,30,2005.0,갱신,한강대로 205,"30,000"
37,중랑구,84.94,39000,2023-12-01,30,2023.0,신규,용마산로 670,0
39,광진구,18.43,23000,2023-12-01,30,2020.0,신규,광나루로 386,0
40,광진구,25.79,16000,2023-12-01,30,2005.0,신규,광나루로 410,0
45,광진구,24.04,12000,2023-12-01,30,2003.0,신규,아차산로78길 56,0
46,종로구,15.59,21400,2023-12-01,30,2021.0,신규,지봉로 37-29,0
50,은평구,17.14,13600,2023-12-01,30,2019.0,갱신,연서로28길 8,"12,600"
56,광진구,18.1,21000,2023-12-01,30,2022.0,갱신,능동로 87,"20,000"
57,동대문구,18.44,20500,2023-12-01,30,2023.0,신규,왕산로 190,0
58,중구,46.22,38000,2023-12-01,30,2022.0,신규,마장로 113,0
59,중구,45.84,44000,2023-12-01,30,2021.0,신규,난계로13길 10-5,0
61,종로구,27.03,24000,2023-12-01,30,2020.0,신규,종로62길 23,0
62,도봉구,15.78,13000,2023-12-01,30,2021.0,신규,노해로63가길 229,0
63,은평구,19.66,11500,2023-12-01,30,2014.0,신규,은평로 123,0
70,강서구,78.78,38000,2023-12-01,30,2008.0,신규,양천로 452,0
71,강서구,29.68,25600,2023-12-01,30,2020.0,신규,강서로56가길 166,0
72,서대문구,61.22,40000,2023-12-01,30,2006.0,신규,서소문로 37,0
73,강서구,13.92,15000,2023-12-01,30,2020.0,신규,강서로74길 52,0
75,강서구,28.3,27200,2023-12-01,30,2020.0,신규,공항대로59다길 39,0
81,강서구,15.43,14000,2023-12-01,30,2020.0,신규,화곡로 297,0
82,강서구,15.43,15000,2023-12-01,30,2020.0,신규,화곡로 297,0
90,서대문구,20.98,27000,2023-12-01,30,2023.0,신규,신촌로33길 16,0
91,강서구,62.01,47000,2023-12-01,30,2023.0,신규,공항대로75길 54,0
92,마포구,16.36,14000,2023-12-01,30,2018.0,신규,모래내로3길 11,0
95,마포구,60.62,38000,2023-12-01,30,2005.0,신규,월드컵로 204,0
101,강서구,28.33,27000,2023-12-01,30,2020.0,신규,양천로47길 12,0
103,마포구,26.25,22000,2023-12-01,30,2015.0,갱신,도화길 43,"21,000"
105,서대문구,22.76,17000,2023-12-01,30,2020.0,신규,통일로35길 14-4,0
112,강서구,28.12,24300,2023-12-01,30,2018.0,신규,화곡로72길 62,0
117,서대문구,20.3,17000,2023-12-01,30,2015.0,신규,이화여대5길 12,0
119,마포구,38.15,28000,2023-12-01,30,2013.0,신규,마포대로 156,0
123,동작구,24.13,19900,2023-12-01,30,2020.0,신규,노들로2길 7,0
134,송파구,47.37,32400,2023-12-01,30,,신규, ,0
136,영등포구,62.88,34200,2023-12-01,30,2006.0,신규,도영로7길 15,0
139,송파구,25.6,26500,2023-12-01,30,2019.0,신규,백제고분로19길 4,0
141,영등포구,35.64,31500,2023-12-01,30,2019.0,신규,영등포로20길 22-10,0
145,서초구,36.27,28000,2023-12-01,30,2006.0,신규,서초중앙로 14,0
147,서초구,50.33,64000,2023-12-01,30,2020.0,신규,반포대로18길 36,0
157,송파구,22.4,20500,2023-12-01,30,2017.0,신규,법원로4길 6,0
162,송파구,20.45,19300,2023-12-01,30,2018.0,신규,법원로4길 5,0
163,송파구,37.88,39200,2023-12-01,30,2018.0,갱신,법원로4길 10,"38,000"
164,강남구,29.49,21000,2023-12-01,30,2014.0,신규,자곡로 204-5,0
169,송파구,21.06,18900,2023-12-01,30,2017.0,신규,정의로7길 13,0
170,송파구,21.06,17300,2023-12-01,30,2017.0,신규,정의로7길 13,0
171,강남구,26.72,36500,2023-12-01,30,2020.0,신규,언주로 615,0
175,송파구,27.53,24000,2023-12-01,30,,신규, ,0
176,송파구,48.96,40000,2023-12-01,30,,신규, ,0
178,송파구,38.26,32000,2023-12-01,30,2021.0,신규, ,0
