"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2021-01-01 ~ 2021-12-30"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 강서구 마곡동","784-9","0784","0009","마곡오드카운티2차","17.3600","202112","30","13,000","10","-","-","2017"," ","-","중개거래","서울 강서구"
"2","서울특별시 서초구 서초동","1679-1","1679","0001","코업레지던스/서초동","24.1600","202112","30","19,000","10","-","-","2004","서초대로 360","-","중개거래","서울 서초구"
"3","서울특별시 영등포구 여의도동","13","0013","0000","여의도파라곤","48.6400","202112","30","39,500","2","-","-","2005","국회대로 800","-","중개거래","서울 영등포구"
"4","서울특별시 양천구 목동","907-10","0907","0010","현대파리지앙","33.8800","202112","30","19,800","14","-","-","2004","목동서로 57","-","중개거래","서울 양천구"
"5","서울특별시 마포구 도화동","36","0036","0000","고려아카데미텔","20.2500","202112","30","15,000","14","-","-","1988","마포대로 52","-","중개거래","서울 마포구"
"6","서울특별시 마포구 성산동","591-6","0591","0006","상암 퍼스티지 더올림 오피스텔","17.3000","202112","30","18,000","10","-","-","2018","모래내로1길 17","-","직거래","-"
"7","서울특별시 서초구 서초동","1337-6","1337","0006","강남 효성 해링턴 타워","26.2700","202112","30","25,000","11","-","-","2013","강남대로51길 10","-","중개거래","서울 서초구"
"8","서울특별시 관악구 신림동","1568-5","1568","0005","더위일관악파크뷰","17.3000","202112","30","24,000","9","-","-","2021","난곡로 298","-","직거래","-"
"9","서울특별시 마포구 대흥동","12-27","0012","0027","이대역 푸르지오 시티","28.8000","202112","30","25,900","16","-","-","2013","신촌로 170","-","중개거래","서울 마포구"
"10","서울특별시 영등포구 도림동","820","0820","0000","쌍용플래티넘시티1단지","86.5400","202112","30","89,500","11","-","-","2006","도영로7길 15","-","중개거래","서울 영등포구"
"11","서울특별시 금천구 가산동","143-3","0143","0003","하이펠리스","24.8400","202112","30","26,100","4","-","-","2021","가산로 143","-","직거래","-"
"12","서울특별시 용산구 원효로1가","28-10","0028","0010","하람 휴","27.2700","202112","30","38,500","10","-","-","2019","원효로 231-3","-","직거래","-"
"13","서울특별시 강남구 개포동","186-13","0186","0013","메트하임","22.0010","202112","30","33,000","13","-","-","2018","개포로 504","-","중개거래","서울 강남구"
"14","서울특별시 관악구 봉천동","861-7","0861","0007","CO-OP RESIDENCE/서울대입구","17.1900","202112","30","11,800","8","-","-","2005","봉천로 472","-","중개거래","서울 관악구"
"15","서울특별시 영등포구 양평동2가","43-14","0043","0014","CO-OP Residence/오목교","26.3800","202112","30","12,000","11","-","-","2004","영등포로3길 23","-","중개거래","서울 영등포구"
