행정구역,비주거용 건물 내 주택,오피스텔,기타,아파트,연립주택,단독다가구
11010,1764,5181,3008,14425,4925,35537
11020,1654,5601,3205,24131,1688,20624
11030,1223,5634,2377,35294,3371,50562
11040,3064,6173,2093,64021,1899,44545
11050,4858,7646,4060,32175,3839,107021
11060,4561,12467,4736,63685,3049,69067
11070,3765,3719,2959,55434,4115,95999
11080,4125,2341,5895,78367,5530,83133
11090,1987,1928,2505,33014,4418,82079
11100,1360,4045,1491,60068,3801,51961
11110,1785,2325,1585,152263,3261,34203
11120,2598,8153,3806,63426,5198,105402
11130,2855,6170,3024,53624,4773,64677
11140,3106,15973,2494,70059,2708,69945
11150,1539,5710,1865,87110,3537,64751
11160,2111,30722,5858,108416,4300,96504
11170,2084,14850,7167,79788,6643,69612
11180,1758,13680,4725,31424,3607,61722
11190,3565,29087,5766,74291,1397,64855
11200,3890,2688,4178,62606,4790,93177
11210,15235,16572,13015,53846,5857,156262
11220,2679,7759,2680,85712,4621,47358
11230,3865,13075,3843,120308,4862,61222
11240,4330,16547,3670,127517,4370,102115
11250,3271,8043,2500,89699,2915,77401
