,구,동,거래건수,위도,경도
0,강남구,개포동,4251,37.47826,127.052024
1,강남구,대치동,3046,37.501711,127.057851
2,강남구,도곡동,2078,37.486509,127.040738
3,강남구,역삼동,1761,37.500335,127.037596
4,강남구,일원동,1479,37.491326,127.083799
5,강남구,압구정동,1379,37.530734,127.028461
6,강남구,압구정동,1379,37.528752,127.031766
7,강남구,수서동,1343,37.485881,127.096706
8,강남구,수서동,1343,37.485767,127.098137
9,강남구,삼성동,1167,37.512792,127.053085
10,강남구,자곡동,966,37.476796,127.100387
11,강남구,청담동,720,37.524399,127.050457
12,강남구,청담동,720,37.523404,127.046858
13,강남구,논현동,631,37.513093,127.031353
14,강남구,세곡동,575,37.464369,127.104583
15,강남구,세곡동,575,37.466494,127.103021
16,강남구,율현동,133,37.47145,127.107251
17,강남구,신사동,118,37.523807,127.026492
18,강남구,신사동,118,37.522893,127.028589
19,강동구,고덕동,2298,37.561068,127.160582
20,강동구,상일동,2062,37.550583,127.168797
21,강동구,상일동,2062,37.54822,127.17063
22,강동구,명일동,1836,37.549276,127.147555
23,강동구,암사동,1574,37.552497,127.13301
24,강동구,둔촌동,1488,37.531157,127.142891
25,강동구,강일동,1450,37.567438,127.173364
26,강동구,강일동,1450,37.569204,127.17162
27,강동구,길동,1254,37.539616,127.145914
28,강동구,길동,1254,37.539123,127.143163
29,강동구,천호동,1253,37.543676,127.131748
30,강동구,성내동,1017,37.531338,127.129174
31,강북구,미아동,1636,37.621106,127.023865
32,강북구,미아동,1636,37.621298,127.024902
33,강북구,번동,640,37.635123,127.032072
34,강북구,수유동,376,37.639388,127.017183
35,강북구,우이동,47,37.663286,127.000508
36,강북구,우이동,47,37.658785,127.01119
37,강서구,마곡동,2664,37.566092,126.830395
38,강서구,가양동,2142,37.568238,126.845059
39,강서구,화곡동,2106,37.538358,126.847336
40,강서구,등촌동,1958,37.551325,126.858411
41,강서구,방화동,1766,37.569138,126.812192
42,강서구,염창동,1580,37.554552,126.871764
43,강서구,염창동,1580,37.551366,126.8713
44,강서구,내발산동,1336,37.552616,126.83573
45,강서구,공항동,56,37.554779,126.810453
46,강서구,공항동,56,37.558805,126.813297
47,관악구,봉천동,3283,37.482717,126.949951
48,관악구,신림동,1726,37.463204,126.935795
49,관악구,신림동,1726,37.476412,126.925691
50,관악구,남현동,167,37.464115,126.977754
51,관악구,남현동,167,37.474116,126.976721
52,광진구,자양동,1740,37.534692,127.074327
53,광진구,광장동,1209,37.547835,127.104695
54,광진구,광장동,1209,37.546992,127.103926
55,광진구,구의동,1106,37.544655,127.089493
56,광진구,화양동,101,37.54325,127.073393
57,광진구,화양동,101,37.544427,127.070047
58,광진구,중곡동,85,37.561882,127.084745
59,광진구,군자동,46,37.553038,127.073657
60,광진구,군자동,46,37.553878,127.073516
61,광진구,능동,13,37.550578,127.081722
62,광진구,능동,13,37.553729,127.082381
63,구로구,구로동,2925,37.4929,126.886427
64,구로구,개봉동,1292,37.49497,126.851409
65,구로구,신도림동,1071,37.509951,126.882174
66,구로구,신도림동,1071,37.509454,126.880425
67,구로구,고척동,873,37.50356,126.855829
68,구로구,천왕동,699,37.482016,126.841789
69,구로구,오류동,511,37.494129,126.840746
70,구로구,항동,353,37.484059,126.82298
71,구로구,온수동,121,37.493507,126.820255
72,구로구,궁동,29,37.49687,126.831303
73,구로구,가리봉동,12,37.482704,126.888019
74,구로구,가리봉동,12,37.482944,126.888062
75,금천구,시흥동,1239,37.453325,126.906222
76,금천구,독산동,1189,37.469371,126.901246
77,금천구,가산동,281,37.476681,126.883767
78,금천구,가산동,281,37.477598,126.888291
79,노원구,상계동,7724,37.6671,127.072189
80,노원구,중계동,3980,37.646989,127.082411
81,노원구,월계동,2860,37.622192,127.05865
82,노원구,하계동,1768,37.63689,127.073145
83,노원구,공릉동,1696,37.623601,127.077388
84,도봉구,창동,3144,37.64344,127.039413
85,도봉구,쌍문동,1122,37.652731,127.02871
86,도봉구,방학동,1016,37.666224,127.03665
87,도봉구,도봉동,681,37.678103,127.043249
88,동대문구,답십리동,1673,37.569883,127.056757
89,동대문구,전농동,1217,37.579797,127.053848
90,동대문구,장안동,1042,37.570749,127.068233
91,동대문구,용두동,895,37.576328,127.034621
92,동대문구,이문동,824,37.598851,127.062465
93,동대문구,휘경동,679,37.589592,127.061228
94,동대문구,청량리동,303,37.588799,127.04528
95,동대문구,청량리동,303,37.586643,127.044621
96,동대문구,제기동,213,37.583778,127.037226
97,동대문구,제기동,213,37.584134,127.03796
98,동대문구,회기동,150,37.593733,127.051434
99,동대문구,회기동,150,37.591447,127.051971
100,동대문구,신설동,17,37.575204,127.026023
101,동작구,사당동,2364,37.483974,126.974999
102,동작구,상도동,2079,37.499206,126.940385
103,동작구,흑석동,1160,37.505492,126.962317
104,동작구,흑석동,1160,37.505964,126.962578
105,동작구,신대방동,971,37.492678,126.917721
106,동작구,대방동,575,37.506879,126.927994
107,동작구,대방동,575,37.504791,126.927862
108,동작구,본동,487,37.511491,126.954336
109,동작구,노량진동,441,37.510162,126.940418
110,동작구,동작동,201,37.496605,126.980985
111,동작구,상도1동,14,37.502889,126.950645
112,마포구,상암동,1214,37.570748,126.87984
113,마포구,상암동,1214,37.577131,126.893488
114,마포구,성산동,1174,37.563317,126.91087
115,마포구,아현동,1109,37.554474,126.956308
116,마포구,아현동,1109,37.555483,126.955998
117,마포구,도화동,840,37.539758,126.950007
118,마포구,도화동,840,37.539966,126.95
119,마포구,공덕동,786,37.548092,126.954994
120,마포구,공덕동,786,37.548828,126.959006
121,마포구,염리동,671,37.549096,126.947307
122,마포구,염리동,671,37.551546,126.947279
123,마포구,대흥동,548,37.549807,126.943177
124,마포구,대흥동,548,37.551055,126.943731
125,마포구,신수동,548,37.548524,126.936813
126,마포구,신수동,548,37.547351,126.937074
127,마포구,신공덕동,503,37.544374,126.956854
128,마포구,망원동,435,37.55662,126.903976
129,마포구,창전동,347,37.550966,126.929835
130,마포구,현석동,243,37.54384,126.933903
131,마포구,중동,234,37.5704,126.907656
132,마포구,용강동,227,37.541502,126.940443
133,마포구,용강동,227,37.541967,126.940414
134,마포구,상수동,148,37.547431,126.922946
135,마포구,서교동,129,37.553838,126.918765
136,마포구,서교동,129,37.55391,126.918985
137,마포구,합정동,109,37.547027,126.909029
138,마포구,합정동,109,37.549046,126.911558
139,마포구,토정동,104,37.54035,126.940474
