,구,동,거래건수,위도,경도
0,강남구,역삼동,551,37.500335,127.037596
1,강남구,논현동,404,37.513093,127.031353
2,강남구,대치동,277,37.501711,127.057851
3,강남구,삼성동,180,37.512792,127.053085
4,강남구,일원동,180,37.491326,127.083799
5,강남구,개포동,143,37.47826,127.052024
6,강남구,율현동,121,37.47145,127.107251
7,강남구,청담동,95,37.524399,127.050457
8,강남구,청담동,95,37.523404,127.046858
9,강남구,신사동,93,37.523807,127.026492
10,강남구,신사동,93,37.522893,127.028589
11,강남구,세곡동,71,37.464369,127.104583
12,강남구,세곡동,71,37.466494,127.103021
13,강남구,도곡동,68,37.486509,127.040738
14,강남구,자곡동,14,37.476796,127.100387
15,강남구,수서동,8,37.485881,127.096706
16,강남구,수서동,8,37.485767,127.098137
17,강동구,천호동,769,37.543676,127.131748
18,강동구,성내동,686,37.531338,127.129174
19,강동구,암사동,374,37.552497,127.13301
20,강동구,고덕동,263,37.561068,127.160582
21,강동구,길동,259,37.539616,127.145914
22,강동구,길동,259,37.539123,127.143163
23,강동구,둔촌동,152,37.531157,127.142891
24,강동구,명일동,87,37.549276,127.147555
25,강동구,상일동,63,37.550583,127.168797
26,강동구,상일동,63,37.54822,127.17063
27,강동구,강일동,4,37.567438,127.173364
28,강동구,강일동,4,37.569204,127.17162
29,강북구,미아동,981,37.621106,127.023865
30,강북구,미아동,981,37.621298,127.024902
31,강북구,수유동,720,37.639388,127.017183
32,강북구,번동,228,37.635123,127.032072
33,강북구,우이동,41,37.663286,127.000508
34,강북구,우이동,41,37.658785,127.01119
35,강서구,화곡동,761,37.538358,126.847336
36,강서구,방화동,262,37.569138,126.812192
37,강서구,공항동,171,37.554779,126.810453
38,강서구,공항동,171,37.558805,126.813297
39,강서구,등촌동,154,37.551325,126.858411
40,강서구,내발산동,64,37.552616,126.83573
41,강서구,개화동,23,37.582069,126.801198
42,강서구,염창동,14,37.554552,126.871764
43,강서구,염창동,14,37.551366,126.8713
44,강서구,마곡동,8,37.566092,126.830395
45,강서구,가양동,6,37.568238,126.845059
46,관악구,봉천동,2834,37.482717,126.949951
47,관악구,신림동,2774,37.463204,126.935795
48,관악구,신림동,2774,37.476412,126.925691
49,관악구,남현동,215,37.464115,126.977754
50,관악구,남현동,215,37.474116,126.976721
51,광진구,중곡동,1265,37.561882,127.084745
52,광진구,자양동,923,37.534692,127.074327
53,광진구,구의동,739,37.544655,127.089493
54,광진구,화양동,429,37.54325,127.073393
55,광진구,화양동,429,37.544427,127.070047
56,광진구,군자동,401,37.553038,127.073657
57,광진구,군자동,401,37.553878,127.073516
58,광진구,능동,344,37.550578,127.081722
59,광진구,능동,344,37.553729,127.082381
60,광진구,광장동,72,37.547835,127.104695
61,광진구,광장동,72,37.546992,127.103926
62,구로구,로구,1622,,
63,금천구,독산동,705,37.469371,126.901246
64,금천구,시흥동,682,37.453325,126.906222
65,금천구,가산동,85,37.476681,126.883767
66,금천구,가산동,85,37.477598,126.888291
67,노원구,공릉동,484,37.623601,127.077388
68,노원구,상계동,392,37.6671,127.072189
69,노원구,월계동,98,37.622192,127.05865
70,노원구,중계동,35,37.646989,127.082411
71,노원구,하계동,24,37.63689,127.073145
72,도봉구,방학동,341,37.666224,127.03665
73,도봉구,창동,285,37.64344,127.039413
74,도봉구,쌍문동,233,37.652731,127.02871
75,도봉구,도봉동,191,37.678103,127.043249
76,동대문구,전농동,399,37.579797,127.053848
77,동대문구,휘경동,379,37.589592,127.061228
78,동대문구,이문동,307,37.598851,127.062465
79,동대문구,답십리동,282,37.569883,127.056757
80,동대문구,장안동,236,37.570749,127.068233
81,동대문구,용두동,233,37.576328,127.034621
82,동대문구,제기동,214,37.583778,127.037226
83,동대문구,제기동,214,37.584134,127.03796
84,동대문구,청량리동,169,37.588799,127.04528
85,동대문구,청량리동,169,37.586643,127.044621
86,동대문구,회기동,136,37.593733,127.051434
87,동대문구,회기동,136,37.591447,127.051971
88,동대문구,신설동,20,37.575204,127.026023
89,동작구,사당동,1402,37.483974,126.974999
90,동작구,상도동,1050,37.499206,126.940385
91,동작구,신대방동,535,37.492678,126.917721
92,동작구,노량진동,355,37.510162,126.940418
93,동작구,대방동,268,37.506879,126.927994
94,동작구,대방동,268,37.504791,126.927862
95,동작구,흑석동,100,37.505492,126.962317
96,동작구,흑석동,100,37.505964,126.962578
97,동작구,상도1동,90,37.502889,126.950645
98,동작구,본동,56,37.511491,126.954336
99,동작구,동작동,1,37.496605,126.980985
100,마포구,망원동,255,37.55662,126.903976
101,마포구,성산동,201,37.563317,126.91087
102,마포구,서교동,175,37.553838,126.918765
103,마포구,서교동,175,37.55391,126.918985
104,마포구,연남동,171,37.563027,126.921519
105,마포구,연남동,171,37.562962,126.921783
106,마포구,공덕동,145,37.548092,126.954994
107,마포구,공덕동,145,37.548828,126.959006
108,마포구,합정동,137,37.547027,126.909029
109,마포구,합정동,137,37.549046,126.911558
110,마포구,신수동,104,37.548524,126.936813
111,마포구,신수동,104,37.547351,126.937074
112,마포구,염리동,104,37.549096,126.947307
113,마포구,염리동,104,37.551546,126.947279
114,마포구,대흥동,87,37.549807,126.943177
115,마포구,대흥동,87,37.551055,126.943731
116,마포구,도화동,80,37.539758,126.950007
117,마포구,도화동,80,37.539966,126.95
118,마포구,상암동,76,37.570748,126.87984
119,마포구,상암동,76,37.577131,126.893488
120,마포구,창전동,73,37.550966,126.929835
121,마포구,노고산동,72,37.554402,126.938556
122,마포구,상수동,63,37.547431,126.922946
123,마포구,동교동,46,37.55765,126.925663
124,마포구,신공덕동,37,37.544374,126.956854
125,마포구,아현동,31,37.554474,126.956308
126,마포구,아현동,31,37.555483,126.955998
127,마포구,중동,21,37.5704,126.907656
128,마포구,당인동,10,37.54625,126.920245
129,마포구,마포동,8,37.537003,126.945323
130,마포구,용강동,8,37.541502,126.940443
131,마포구,용강동,8,37.541967,126.940414
