"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","매수","매도","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 은평구 대조동","*","단독","8m미만","21.79","60.00","202412","31","24,800","개인","개인","1963","진흥로13가길","-","중개거래","서울 은평구"
"2","서울특별시 중랑구 면목동","5**","단독","8m미만","82.85","92.00","202412","31","65,000","개인","개인","1978","용마산로45길","-","중개거래","서울 중랑구"
"3","서울특별시 중랑구 상봉동","1**","단독","8m미만","127.82","145.80","202412","31","450,000","개인","개인","1973","면목로96길","20250115","직거래","-"
"4","서울특별시 광진구 중곡동","1**","단독","12m미만","311.46","119.30","202412","31","85,000","개인","개인","1988","긴고랑로7길","-","중개거래","서울 광진구"
"5","서울특별시 중랑구 상봉동","1**","단독","8m미만","127.82","145.80","202412","31","450,000","법인","개인","1973","면목로96길","-","직거래","-"
"6","서울특별시 관악구 신림동","1***","단독","8m미만","248.68","178.60","202412","31","95,500","개인","개인","1988","대학10길","-","중개거래","서울 관악구"
"7","서울특별시 서대문구 연희동","1**","단독","8m미만","315.26","237.70","202412","30","225,500","개인","개인","1970","연희로11마길","-","직거래","-"
"8","서울특별시 성동구 마장동","7**","단독","25m미만","220.40","186.10","202412","30","220,000","법인","개인","1976","마장로35길","-","중개거래","서울 성동구"
"9","서울특별시 동대문구 이문동","8*","단독","25m미만","64.46","50.00","202412","30","85,000","개인","개인","1968","외대역동로","-","중개거래","서울 동대문구"
"10","서울특별시 동대문구 회기동","1**","다가구","8m미만","133.62","73.00","202412","30","51,000","개인","개인","1994","이문로3길","-","중개거래","서울 동대문구"
"11","서울특별시 성동구 성수동1가","1**","다가구","8m미만","149.28","136.00","202412","30","298,000","개인","개인","1992","둘레5길","-","중개거래","서울 강남구, 서울 성동구"
"12","서울특별시 광진구 군자동","1**","단독","8m미만","39.47","50.00","202412","30","17,000","개인","개인","1971","동일로56가길","-","중개거래","서울 광진구"
"13","서울특별시 성북구 정릉동","6**","단독","8m미만","29.75","126.00","202412","30","30,000","개인","개인","1959","정릉로10가길","-","직거래","-"
"14","서울특별시 종로구 이화동","*","단독","8m미만","490.18","267.80","202412","30","200,000","법인","기타","1986","율곡로19길","-","중개거래","서울 강남구"
"15","서울특별시 동대문구 이문동","1**","다가구","8m미만","139.39","83.00","202412","30","100,500","개인","개인","1993","외대역동로34길","-","중개거래","서울 동대문구"
"16","서울특별시 용산구 동빙고동","3*","단독","8m미만","161.62","169.00","202412","30","430,000","개인","개인","1975","서빙고로91다길","-","중개거래","서울 용산구"
"17","서울특별시 광진구 구의동","6*","다가구","8m미만","249.75","150.70","202412","30","148,825","공공기관","개인","1991","자양로36길","-","직거래","-"
"18","서울특별시 동대문구 이문동","1**","단독","8m미만","21.88","23.00","202412","29","57,400","개인","개인","1969","외대역동로32길","-","중개거래","서울 동대문구"
"19","서울특별시 동대문구 이문동","1**","단독","8m미만","72.96","87.00","202412","29","98,000","개인","개인","1974","외대역동로32길","-","중개거래","서울 도봉구"
"20","서울특별시 성북구 삼선동1가","2**","다가구","8m미만","93.93","61.20","202412","28","28,000","개인","개인","1993","삼선교로8길","-","중개거래","서울 성북구"
"21","서울특별시 동대문구 전농동","2**","다가구","8m미만","115.74","76.00","202412","28","83,000","개인","개인","1993","전농로29길","-","중개거래","서울 동대문구"
"22","서울특별시 강북구 수유동","5**","다가구","8m미만","176.59","122.00","202412","27","65,667","공공기관","개인","1995","인수봉로76길","-","직거래","-"
"23","서울특별시 서초구 서초동","1***","단독","8m미만","128.26","283.60","202412","27","295,000","개인","개인","1973","서초중앙로8길","20250321","중개거래","서울 서초구"
"24","서울특별시 양천구 신정동","1***","단독","8m미만","164.16","114.40","202412","27","90,000","개인","개인","1983","중앙로47길","-","중개거래","서울 양천구"
"25","서울특별시 영등포구 대림동","8**","단독","8m미만","163.98","116.00","202412","27","92,699","공공기관","개인","1986","디지털로64길","-","직거래","-"
"26","서울특별시 관악구 신림동","5**","다가구","8m미만","357.36","174.80","202412","27","189,018","공공기관","개인","1995","남부순환로143가길","-","직거래","-"
"27","서울특별시 송파구 송파동","1**","다가구","8m미만","470.92","200.00","202412","27","268,000","개인","개인","1997","백제고분로46길","-","중개거래","서울 송파구"
"28","서울특별시 성동구 금호동3가","2*","단독","8m미만","79.45","43.30","202412","27","50,000","개인","개인","1983","무수막5가길","-","직거래","-"
"29","서울특별시 마포구 연남동","5**","다가구","8m미만","360.09","158.70","202412","26","198,000","법인","개인","1997","연남로1길","20250404","중개거래","서울 마포구"
"30","서울특별시 마포구 망원동","4**","단독","8m미만","162.18","151.40","202412","26","140,000","개인","개인","1977","망원로10길","-","중개거래","서울 마포구"
"31","서울특별시 성북구 종암동","8*","단독","8m미만","109.32","109.00","202412","26","73,000","법인","개인","1980","종암로27길","-","직거래","-"
"32","서울특별시 용산구 이태원동","4**","다가구","8m미만","321.50","198.00","202412","26","250,000","개인","개인","1993","녹사평대로40다길","-","중개거래","서울 용산구"
"33","서울특별시 성동구 성수동2가","3**","단독","12m미만","566.64","193.10","202412","26","1,515,000","법인","개인","1993","연무장길","-","중개거래","서울 강남구"
"34","서울특별시 중랑구 면목동","2**","다가구","12m미만","143.88","102.00","202412","26","43,000","개인","법인","1995","면목로84길","-","중개거래","서울 중랑구"
"35","서울특별시 종로구 홍지동","1**","단독","8m미만","57.55","131.00","202412","26","36,500","개인","개인","1967","자하문로43길","-","중개거래","서울 종로구"
"36","서울특별시 은평구 구산동","1**","단독","8m미만","127.41","169.00","202412","25","42,700","개인","개인","1974","갈현로11가길","-","중개거래","서울 은평구"
"37","서울특별시 은평구 신사동","3*","단독","12m미만","53.09","116.00","202412","25","90,000","법인","개인","1972","증산로19길","-","중개거래","서울 은평구"
"38","서울특별시 강서구 공항동","1*","다가구","8m미만","207.27","136.00","202412","25","117,000","개인","개인","1993","방화대로23길","-","중개거래","서울 강서구"
"39","서울특별시 관악구 신림동","1***","단독","25m미만","463.20","169.00","202412","24","230,000","개인","개인","1995","신림로","-","직거래","-"
"40","서울특별시 용산구 후암동","1**","단독","8m미만","204.86","294.90","202412","24","218,000","법인","개인","1973","한강대로96가길","-","중개거래","서울 용산구"
"41","서울특별시 강북구 미아동","6**","다가구","8m미만","195.27","126.00","202412","24","123,500","개인","개인","1994","숭인로7길","20250530","중개거래","서울 강북구"
"42","서울특별시 강북구 미아동","6**","단독","8m미만","195.27","134.00","202412","24","122,500","개인","개인","1994","숭인로7길","-","중개거래","서울 강북구"
"43","서울특별시 서대문구 미근동","6*","단독","8m미만","36.36","85.60","202412","24","70,000","개인","개인","1949","충정로6길","-","중개거래","서울 서대문구"
"44","서울특별시 서대문구 미근동","6*","단독","8m미만","36.36","85.60","202412","24","70,000","개인","개인","1949","충정로6길","20250228","중개거래","서울 서대문구"
"45","서울특별시 중구 장충동1가","3*","단독","8m미만","131.24","139.20","202412","24","195,000","개인","개인","1900","장충단로8가길","-","중개거래","서울 강남구, 서울 중구"
"46","서울특별시 마포구 합정동","4**","단독","25m이상","181.50","127.10","202412","23","415,000","법인","개인","1988","독막로","-","중개거래","서울 마포구"
"47","서울특별시 중랑구 망우동","3**","단독","8m미만","145.42","101.80","202412","23","70,000","개인","개인","1987","망우로71길","-","직거래","-"
"48","서울특별시 강북구 미아동","*","단독","12m미만","176.92","132.00","202412","23","43,200","개인","법인","1976","월계로21길","-","직거래","-"
"49","서울특별시 동대문구 이문동","8*","다가구","8m미만","146.58","83.00","202412","23","107,000","개인","개인","1993","휘경로17길","-","중개거래","서울 동대문구"
"50","서울특별시 강북구 수유동","5**","단독","25m미만","994.98","323.00","202412","23","170,000","개인","개인","1996","인수봉로","-","중개거래","서울 강북구"
"51","서울특별시 강북구 수유동","4**","다가구","8m미만","93.15","86.00","202412","23","30,000","개인","개인","1991","삼양로81길","-","중개거래","서울 강북구"
