NO,시군구,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형,구
1,서울특별시 종로구 신영동,125.86,전세,2023-12-01,31,10000,0,1969.0,세검정로7길,202401~202601,신규,-,0,0,단독다가구,종로구
2,서울특별시 성동구 성수동1가,39.83,전세,2023-12-01,31,9200,0,1990.0,상원10가길,202312~202512,신규,-,0,0,단독다가구,성동구
9,서울특별시 광진구 구의동,21.0,전세,2023-12-01,31,12000,0,2001.0,아차산로49길,202402~202602,신규,-,0,0,단독다가구,광진구
12,서울특별시 중랑구 망우동,61.6,전세,2023-12-01,31,14600,0,2002.0,봉우재로53길,-,신규,-,0,0,단독다가구,중랑구
30,서울특별시 영등포구 대림동,26.0,전세,2023-12-01,31,6500,0,2010.0,도림로52길,202401~202601,신규,-,0,0,단독다가구,영등포구
31,서울특별시 영등포구 대림동,40.7,전세,2023-12-01,31,13000,0,1989.0,디지털로45길,-,신규,-,0,0,단독다가구,영등포구
55,서울특별시 관악구 신림동,80.2,전세,2023-12-01,31,37000,0,1997.0,신원로3라길,202403~202603,신규,-,0,0,단독다가구,관악구
61,서울특별시 관악구 신림동,17.0,전세,2023-12-01,31,6000,0,2014.0,조원로6길,-,신규,-,0,0,단독다가구,관악구
77,서울특별시 중랑구 상봉동,76.47,전세,2023-12-01,31,8000,0,1995.0,상봉중앙로8길,-,신규,-,0,0,단독다가구,중랑구
83,서울특별시 동대문구 이문동,146.13,전세,2023-12-01,31,35000,0,,,-,신규,-,0,0,단독다가구,동대문구
85,서울특별시 동대문구 휘경동,20.0,전세,2023-12-01,31,9000,0,2018.0,전농로38길,202312~202512,신규,-,0,0,단독다가구,동대문구
89,서울특별시 중랑구 상봉동,30.0,전세,2023-12-01,31,18000,0,2018.0,봉우재로,202401~202601,갱신,-,18000,0,단독다가구,중랑구
93,서울특별시 강동구 길동,43.0,전세,2023-12-01,31,16000,0,1996.0,양재대로128길,202312~202512,신규,-,0,0,단독다가구,강동구
94,서울특별시 강동구 성내동,42.0,전세,2023-12-01,31,12000,0,1997.0,양재대로89길,202312~202604,갱신,-,11000,0,단독다가구,강동구
97,서울특별시 강동구 천호동,60.0,전세,2023-12-01,31,7500,0,1997.0,상암로28길,202312~202512,갱신,-,7500,5,단독다가구,강동구
99,서울특별시 송파구 삼전동,20.0,전세,2023-12-01,31,14000,0,1995.0,백제고분로22길,202402~202602,갱신,-,9200,9,단독다가구,송파구
103,서울특별시 금천구 독산동,10.5,전세,2023-12-01,31,4000,0,1994.0,독산로102길,202312~202512,신규,-,0,0,단독다가구,금천구
106,서울특별시 금천구 시흥동,31.0,전세,2023-12-01,30,9000,0,1989.0,독산로28나길,202312~202512,신규,-,0,0,단독다가구,금천구
110,서울특별시 구로구 오류동,126.74,전세,2023-12-01,30,17000,0,1973.0,오류로8길,202403~202603,신규,-,0,0,단독다가구,구로구
111,서울특별시 구로구 개봉동,47.3,전세,2023-12-01,30,13000,0,1996.0,고척로,202401~202601,갱신,-,12000,0,단독다가구,구로구
113,서울특별시 구로구 오류동,60.86,전세,2023-12-01,30,17000,0,1973.0,오류로8길,202403~202603,신규,-,0,0,단독다가구,구로구
116,서울특별시 강서구 화곡동,80.42,전세,2023-12-01,30,8000,0,1996.0,가로공원로78길,202403~202603,신규,-,0,0,단독다가구,강서구
120,서울특별시 구로구 가리봉동,18.0,전세,2023-12-01,30,11000,0,2019.0,남부순환로107가길,202401~202601,신규,-,0,0,단독다가구,구로구
136,서울특별시 관악구 봉천동,20.0,전세,2023-12-01,30,12000,0,,,-,신규,-,0,0,단독다가구,관악구
137,서울특별시 관악구 봉천동,18.0,전세,2023-12-01,30,12000,0,,,-,신규,-,0,0,단독다가구,관악구
146,서울특별시 관악구 신림동,33.0,전세,2023-12-01,30,5000,0,1990.0,난향3길,-,신규,-,0,0,단독다가구,관악구
150,서울특별시 관악구 신림동,75.45,전세,2023-12-01,30,28000,0,1992.0,관천로25길,202401~202601,신규,-,0,0,단독다가구,관악구
159,서울특별시 관악구 신림동,19.48,전세,2023-12-01,30,18000,0,,,-,신규,-,0,0,단독다가구,관악구
162,서울특별시 관악구 신림동,28.86,전세,2023-12-01,30,22000,0,2017.0,신림로67길,202401~202601,갱신,-,24500,0,단독다가구,관악구
170,서울특별시 관악구 봉천동,17.0,전세,2023-12-01,30,12000,0,1998.0,낙성대로3길,202402~202602,신규,-,0,0,단독다가구,관악구
172,서울특별시 관악구 봉천동,19.8,전세,2023-12-01,30,10000,0,2012.0,관악로12길,202402~202602,신규,-,0,0,단독다가구,관악구
176,서울특별시 서초구 방배동,39.84,전세,2023-12-01,30,14000,0,1991.0,방배천로6길,202401~202601,신규,-,0,0,단독다가구,서초구
180,서울특별시 관악구 봉천동,19.32,전세,2023-12-01,30,14000,0,2017.0,인헌3길,202401~202601,갱신,-,500,35,단독다가구,관악구
181,서울특별시 관악구 봉천동,16.0,전세,2023-12-01,30,6000,0,2001.0,남부순환로246가길,-,신규,-,0,0,단독다가구,관악구
185,서울특별시 관악구 봉천동,42.0,전세,2023-12-01,30,10000,0,1995.0,관악로24나길,202401~202601,갱신,-,9000,0,단독다가구,관악구
195,서울특별시 관악구 봉천동,16.0,전세,2023-12-01,30,8000,0,2017.0,봉천로13나길,202401~202601,신규,-,0,0,단독다가구,관악구
196,서울특별시 관악구 봉천동,18.0,전세,2023-12-01,30,5000,0,,봉천로15길,-,신규,-,0,0,단독다가구,관악구
199,서울특별시 관악구 신림동,19.0,전세,2023-12-01,30,8000,0,2020.0,신림로,202401~202601,신규,-,0,0,단독다가구,관악구
215,서울특별시 성북구 종암동,16.5,전세,2023-12-01,30,9000,0,2018.0,종암로6길,202402~202602,신규,-,0,0,단독다가구,성북구
221,서울특별시 성북구 하월곡동,17.0,전세,2023-12-01,30,13000,0,,,-,신규,-,0,0,단독다가구,성북구
226,서울특별시 성북구 삼선동2가,46.07,전세,2023-12-01,30,12000,0,1995.0,삼선교로16가길,202401~202601,신규,-,0,0,단독다가구,성북구
250,서울특별시 중랑구 묵동,228.75,전세,2023-12-01,30,25000,0,2010.0,동일로169길,202401~202601,신규,-,0,0,단독다가구,중랑구
257,서울특별시 성동구 마장동,20.0,전세,2023-12-01,30,7000,0,1996.0,마조로16길,202402~202602,신규,-,0,0,단독다가구,성동구
260,서울특별시 중구 신당동,45.0,전세,2023-12-01,30,13000,0,1996.0,다산로12길,-,신규,-,0,0,단독다가구,중구
262,서울특별시 중구 중림동,32.0,전세,2023-12-01,30,9000,0,1987.0,중림로2길,202401~202601,신규,-,0,0,단독다가구,중구
270,서울특별시 성동구 사근동,20.0,전세,2023-12-01,30,10000,0,,,-,신규,-,0,0,단독다가구,성동구
272,서울특별시 성동구 사근동,17.0,전세,2023-12-01,30,8500,0,1985.0,사근동12길,202401~202501,갱신,-,8500,0,단독다가구,성동구
275,서울특별시 성동구 용답동,48.0,전세,2023-12-01,30,20000,0,1974.0,용답중앙11나길,202402~202602,갱신,-,18000,0,단독다가구,성동구
280,서울특별시 용산구 이태원동,33.0,전세,2023-12-01,30,13650,0,1990.0,녹사평대로26가길,202403~202603,신규,-,0,0,단독다가구,용산구
283,서울특별시 용산구 보광동,22.0,전세,2023-12-01,30,18000,0,1960.0,보광로5길,-,신규,-,0,0,단독다가구,용산구
307,서울특별시 광진구 구의동,64.53,전세,2023-12-01,30,26000,0,2002.0,구의강변로7길,202402~202602,신규,-,0,0,단독다가구,광진구
330,서울특별시 광진구 중곡동,131.44,전세,2023-12-01,30,20000,0,2017.0,긴고랑로7길,202402~202602,신규,-,0,0,단독다가구,광진구
333,서울특별시 광진구 중곡동,101.04,전세,2023-12-01,30,22000,0,1995.0,긴고랑로,202401~202601,갱신,-,19950,0,단독다가구,광진구
337,서울특별시 광진구 구의동,39.6,전세,2023-12-01,30,27000,0,2017.0,자양로26길,202401~202601,신규,-,0,0,단독다가구,광진구
345,서울특별시 은평구 녹번동,41.0,전세,2023-12-01,30,6800,0,,녹번로7길,202403~202603,신규,-,0,0,단독다가구,은평구
347,서울특별시 은평구 녹번동,41.0,전세,2023-12-01,30,6800,0,1990.0,녹번로7길,202402~202602,신규,-,0,0,단독다가구,은평구
348,서울특별시 노원구 공릉동,15.0,전세,2023-12-01,30,5000,0,2017.0,공릉로34길,-,신규,-,0,0,단독다가구,노원구
350,서울특별시 강북구 수유동,17.83,전세,2023-12-01,30,10000,0,2019.0,도봉로71가길,202401~202601,신규,-,0,0,단독다가구,강북구
351,서울특별시 은평구 녹번동,41.0,전세,2023-12-01,30,6800,0,1990.0,녹번로7길,202401~202601,신규,-,0,0,단독다가구,은평구
354,서울특별시 노원구 공릉동,19.8,전세,2023-12-01,30,5000,0,2002.0,동일로186길,-,신규,-,0,0,단독다가구,노원구
356,서울특별시 노원구 공릉동,96.0,전세,2023-12-01,30,8000,0,2004.0,화랑로,202312~202512,갱신,-,35000,0,단독다가구,노원구
363,서울특별시 은평구 신사동,34.24,전세,2023-12-01,30,13000,0,1994.0,증산로17길,202401~202601,신규,-,0,0,단독다가구,은평구
374,서울특별시 은평구 대조동,46.22,전세,2023-12-01,30,13000,0,1991.0,통일로73길,202401~202601,신규,-,0,0,단독다가구,은평구
376,서울특별시 은평구 증산동,28.7,전세,2023-12-01,30,17000,0,2019.0,증산로5길,202402~202602,신규,-,0,0,단독다가구,은평구
381,서울특별시 서대문구 창천동,18.0,전세,2023-12-01,30,8000,0,1990.0,연세로2나길,202401~202601,신규,-,0,0,단독다가구,서대문구
385,서울특별시 은평구 증산동,28.7,전세,2023-12-01,30,17000,0,2019.0,증산로5길,202402~202602,신규,-,0,0,단독다가구,은평구
