"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-01-01 ~ 2023-12-31"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강북구 번동","461-62","0461","0062","(461-62)","51.5700","29.5000","202312","31","18,300","4","-","-","1994","한천로132길 6","-","중개거래","서울 강북구","-"
"2","서울특별시 도봉구 방학동","632","0632","0000","예지팰리스84차","48.5500","40.6400","202312","31","26,500","6","-","-","2016","도당로13다길 33","-","중개거래","서울 도봉구","-"
"3","서울특별시 은평구 불광동","131-1","0131","0001","삼흥펠리체","56.7300","37.2509","202312","31","46,000","4","-","-","2022","연서로34길 13","-","직거래","-","-"
"4","서울특별시 마포구 성산동","606-6","0606","0006","혜원빌리지","75.7500","45.2600","202312","31","53,000","3","-","-","1993","성미산로13길 120","-","중개거래","서울 마포구","-"
"5","서울특별시 은평구 역촌동","81-2","0081","0002","다베로(81-2)","57.6100","36.6600","202312","31","55,000","2","-","-","2022","연서로3길 25","20240423","직거래","-","-"
"6","서울특별시 동작구 상도동","299-184","0299","0184","반석빌라","47.5400","28.8500","202312","31","27,000","1","-","-","1991","국사봉14길 6","-","직거래","-","-"
"7","서울특별시 양천구 신월동","509-15","0509","0015","남정빌라","32.8600","15.0090","202312","31","5,800","-1","-","-","1993","오목로 72-10","-","중개거래","서울 양천구","-"
"8","서울특별시 양천구 신월동","87-7","0087","0007","SK바움빌","26.1400","15.7500","202312","30","17,000","6","-","-","2017","가로공원로71길 7","-","중개거래","서울 강서구","-"
"9","서울특별시 송파구 풍납동","147-1","0147","0001","유천파크빌라(3동5동6동)","48.1800","58.0000","202312","30","40,000","1","-","-","1983","풍성로25다길 12","-","중개거래","서울 강동구 서울 송파구","-"
"10","서울특별시 서초구 방배동","12-70","0012","0070","우미하우스","34.5300","21.8180","202312","30","39,500","3","-","-","2015","방배로40길 15-12","-","중개거래","서울 서초구","-"
"11","서울특별시 서초구 방배동","476-34","0476","0034","(476-34)","49.1400","25.3100","202312","30","139,200","2","-","-","1996","남부순환로287길 32-10","-","중개거래","서울 서초구","-"
"12","서울특별시 서초구 방배동","822-15","0822","0015","제일아트빌라","51.7900","21.1200","202312","30","51,000","2","-","-","1993","동광로10길 11-8","-","중개거래","서울 서초구","-"
"13","서울특별시 동작구 상도동","1-14","0001","0014","현대드림맨션","56.5560","33.8300","202312","30","51,000","4","-","-","2016","매봉로4길 9","-","중개거래","서울 동작구","-"
"14","서울특별시 강남구 역삼동","781-35","0781","0035","스타힐스","18.4000","13.7200","202312","30","41,500","4","-","-","2012","논현로66길 17","-","중개거래","서울 강남구","-"
"15","서울특별시 강서구 화곡동","475-19","0475","0019","그레이스빌","24.7400","18.9888","202312","30","35,200","6","-","-","2022","등촌로13자길 39-17","-","직거래","-","-"
"16","서울특별시 관악구 봉천동","649-84","0649","0084","럭키그린하우스","57.4200","24.3100","202312","30","25,000","2","-","-","1992","봉천로21나길 33-16","-","중개거래","서울 관악구","-"
"17","서울특별시 송파구 오금동","93-2","0093","0002","현대골든빌라","63.4800","30.0800","202312","30","24,500","4","-","-","1992","중대로40길 7","-","중개거래","서울 송파구","-"
"18","서울특별시 관악구 봉천동","41-357","0041","0357","프라임21","23.3200","15.9148","202312","30","28,700","3","-","-","2019","은천로35라길 25","-","중개거래","서울 관악구","-"
"19","서울특별시 강서구 화곡동","1081-6","1081","0006","드림파크빌","58.2600","33.2795","202312","30","24,000","5","-","-","2011","화곡로26가길 37-3","-","중개거래","서울 강서구","-"
"20","서울특별시 금천구 독산동","378-233","0378","0233","아이수빌라","28.1200","17.1400","202312","30","29,000","2","-","-","2022","독산로64길 20","-","직거래","-","-"
"21","서울특별시 구로구 개봉동","331-17","0331","0017","로얄하이츠(331-17)","24.7500","17.0400","202312","30","20,800","2","-","-","2021","개봉로15길 36-14","-","직거래","-","-"
"22","서울특별시 동작구 사당동","303-26","0303","0026","초원빌라","54.7700","46.8333","202312","30","30,000","2","-","-","1987","남부순환로255마길 6","-","직거래","-","-"
"23","서울특별시 양천구 목동","743-5","0743","0005","한솔파크빌II","53.9600","28.1000","202312","30","24,000","2","-","-","2007","목동중앙본로7길 9-13","-","중개거래","서울 양천구","-"
"24","서울특별시 송파구 석촌동","150-19","0150","0019","중앙빌라(150-19)","61.9100","24.4100","202312","30","33,000","4","-","-","1995","백제고분로37나길 15","-","중개거래","서울 송파구","-"
"25","서울특별시 동작구 상도동","1-14","0001","0014","현대드림맨션","56.5560","33.8300","202312","30","51,000","4","-","-","2016","매봉로4길 9","20240120","중개거래","서울 동작구","-"
"26","서울특별시 마포구 망원동","384-36","0384","0036","금성빌라","46.6600","26.8900","202312","30","37,000","1","-","-","1994","월드컵로11길 41-6","-","중개거래","서울 마포구","-"
"27","서울특별시 은평구 신사동","13-32","0013","0032","카리스타운(13-32)","45.9000","27.7650","202312","30","29,800","3","-","-","2016","갈현로5길 29-26","-","중개거래","서울 은평구","-"
"28","서울특별시 은평구 대조동","192-42","0192","0042","한빛그랑빌D동","63.0900","29.9100","202312","30","33,500","1","-","-","2002","통일로73길 14-1","-","중개거래","서울 은평구","-"
"29","서울특별시 서대문구 홍제동","283-4","0283","0004","문화(가동)","36.0600","32.6900","202312","30","16,500","1","-","-","1987","세검정로 100-3","-","중개거래","서울 서대문구","-"
"30","서울특별시 도봉구 도봉동","614-9","0614","0009","삼호그랑빌","29.9400","19.6690","202312","30","19,000","5","-","-","2016","시루봉로27나길 19-4","-","직거래","-","-"
"31","서울특별시 강북구 수유동","518-76","0518","0076","신도팰리스B동","63.1800","41.4100","202312","30","22,800","2","-","-","2008","인수봉로55길 28-6","-","중개거래","서울 강북구","-"
"32","서울특별시 강북구 번동","442-1","0442","0001","한성빌라","114.8400","80.4600","202312","30","35,000","2","-","-","1987","도봉로78길 62","-","중개거래","서울 강북구","-"
"33","서울특별시 강북구 수유동","330-8","0330","0008","장미빌라","32.3700","15.1000","202312","30","5,500","-1","-","-","1993","삼양로118길 7-23","-","중개거래","서울 강북구","-"
"34","서울특별시 강북구 수유동","516-112","0516","0112","해청빌라(5)","30.2400","34.5000","202312","30","12,800","2","-","-","1986","삼각산로4가길 20","-","중개거래","서울 강북구","-"
"35","서울특별시 은평구 갈현동","464-7","0464","0007","대일아이안빌","73.1800","29.4500","202312","30","41,000","5","-","-","2010","연서로17길 6-1","20240116","중개거래","서울 은평구","-"
"36","서울특별시 은평구 갈현동","7-6","0007","0006","원일빌라","44.6300","19.8000","202312","30","14,000","4","-","-","1992","갈현로45길 6","-","중개거래","서울 은평구","-"
"37","서울특별시 중랑구 면목동","1540","1540","0000","1540","29.9500","18.0000","202312","30","25,000","3","-","-","2018","면목로56길 75","-","중개거래","서울 중랑구","-"
"38","서울특별시 중랑구 중화동","322-30","0322","0030","가람빌리지","22.6100","15.3643","202312","30","19,000","4","-","-","2015","중랑역로3나길 25","-","중개거래","서울 중랑구","-"
"39","서울특별시 강북구 수유동","560-100","0560","0100","남전하이츠빌라(560-100)","32.9700","14.1500","202312","30","15,000","3","-","-","1994","4.19로11길 21","-","중개거래","서울 강북구","-"
"40","서울특별시 광진구 중곡동","244-35","0244","0035","세종하이빌A동","73.3800","43.9100","202312","30","33,000","1","-","-","2003","면목로 102-5","-","중개거래","서울 광진구","-"
"41","서울특별시 은평구 갈현동","464-7","0464","0007","대일아이안빌","73.1800","29.4500","202312","30","41,000","5","-","-","2010","연서로17길 6-1","-","중개거래","서울 은평구","-"
"42","서울특별시 중구 신당동","405-8","0405","0008","리베르떼신당","28.3500","17.8000","202312","30","27,100","2","-","-","2020","청구로21길 50","-","중개거래","경기 성남중원구 서울 중구","-"
"43","서울특별시 강북구 수유동","35-10","0035","0010","설악빌라트B동","46.9000","27.5500","202312","30","26,000","2","-","-","2008","노해로17길 59","-","중개거래","서울 강북구","-"
"44","서울특별시 은평구 응암동","42-79","0042","0079","대현빌라","42.3000","25.9900","202312","30","21,000","1","-","-","1992","은평로16나길 3-7","-","중개거래","서울 은평구","-"
"45","서울특별시 서대문구 홍은동","10-238","0010","0238","미소지움103동","25.6800","23.3200","202312","30","29,000","4","-","-","2019","홍은중앙로9길 82-2","-","직거래","-","-"
"46","서울특별시 은평구 응암동","577-75","0577","0075","동명하이츠빌라(577-75)","30.5400","14.2900","202312","29","18,800","1","-","-","1993","응암로 221-3","-","중개거래","서울 마포구 서울 은평구","-"
"47","서울특별시 용산구 효창동","1-1","0001","0001","프라임27","14.4100","13.0000","202312","29","11,500","2","-","-","2014","효창원로76길 25-2","-","중개거래","서울 중랑구","-"
"48","서울특별시 양천구 신정동","940-50","0940","0050","프라나(940-50)","29.9200","19.0700","202312","29","23,000","5","-","-","2018","중앙로52길 16-7","-","직거래","-","-"
"49","서울특별시 양천구 신정동","1206-1","1206","0001","동영빌라","57.8400","28.5100","202312","29","58,000","4","-","-","2002","중앙로39길 20-14","-","중개거래","서울 양천구","-"
"50","서울특별시 서대문구 북가좌동","5-132","0005","0132","정원하이츠빌","56.9500","41.9800","202312","29","25,000","2","-","-","2002","증가로24길 29-28","-","중개거래","서울 서대문구","-"
"51","서울특별시 동대문구 장안동","358-10","0358","0010","하나스위트","29.9600","19.6170","202312","29","35,000","6","-","-","2023","천호대로97길 91","20240315","직거래","-","-"
"52","서울특별시 도봉구 쌍문동","486-107","0486","0107","완성빌라","52.1700","57.4800","202312","29","17,000","2","-","-","1983","우이천로44길 44","-","중개거래","서울 강북구 서울 도봉구","-"
"53","서울특별시 광진구 중곡동","94-21","0094","0021","백악관빌라(94-21)","34.6500","20.7930","202312","29","27,500","2","-","-","2013","자양로45길 69","-","중개거래","서울 광진구","-"
"54","서울특별시 중랑구 면목동","96-90","0096","0090","YEINPLACE","14.6800","10.0514","202312","29","26,000","4","-","-","2019","상봉로15길 29","-","중개거래","서울 서초구","-"
"55","서울특별시 용산구 후암동","244-101","0244","0101","용산더힐(101)","21.1200","12.5000","202312","29","26,000","3","-","-","2012","후암로16길 15","-","중개거래","서울 용산구","-"
"56","서울특별시 은평구 대조동","204-23","0204","0023","방배8차빌라(204-23)","32.9000","18.4250","202312","29","25,000","2","-","-","1993","연서로26길 26-17","-","중개거래","서울 은평구","-"
"57","서울특별시 은평구 대조동","204-23","0204","0023","방배8차빌라(204-23)","32.9000","18.4250","202312","29","25,000","2","-","-","1993","연서로26길 26-17","20240122","중개거래","서울 은평구","-"
"58","서울특별시 마포구 망원동","414-29","0414","0029","차원스카이빌","66.8900","31.6580","202312","29","40,000","4","-","-","2002","포은로8길 34","-","중개거래","서울 마포구","-"
"59","서울특별시 은평구 신사동","208-16","0208","0016","(208-16)","32.6100","27.5000","202312","29","13,500","1","-","-","1986","은평터널로11길 12-1","-","중개거래","서울 은평구","-"
"60","서울특별시 중랑구 중화동","134-15","0134","0015","벨라비스타","27.4100","19.8000","202312","29","37,500","5","-","-","2020","상봉중앙로5가길 55","-","중개거래","서울 중랑구","-"
"61","서울특별시 은평구 갈현동","12-288","0012","0288","한화빌라","55.4400","33.1900","202312","29","17,000","1","-","-","2003","갈현로47길 38-1","-","중개거래","서울 은평구","-"
"62","서울특별시 중랑구 상봉동","87-7","0087","0007","상봉팰리스","31.4100","9.9250","202312","29","25,500","9","-","-","2018","봉우재로33길 60","-","중개거래","서울 중랑구","-"
"63","서울특별시 강북구 우이동","154-23","0154","0023","상록수빌23","23.9400","17.5988","202312","29","8,500","1","-","-","2011","삼양로173가길 63","-","중개거래","서울 성북구","-"
"64","서울특별시 성북구 돈암동","538-55","0538","0055","(538-55)","40.2100","35.6560","202312","29","33,500","4","-","-","2016","아리랑로12길 10","-","직거래","-","-"
"65","서울특별시 성북구 장위동","225-9","0225","0009","동우맨션","104.3100","54.0800","202312","29","39,000","3","-","-","1997","장월로17길 31","-","중개거래","서울 성북구","-"
"66","서울특별시 마포구 망원동","479-80","0479","0080","기룡하이츠(가동)","45.3700","25.5540","202312","29","33,000","5","-","-","2009","망원로11길 27-28","-","중개거래","서울 마포구","-"
"67","서울특별시 강북구 미아동","1363","1363","0000","수유지웰에스테이트","15.8850","13.0353","202312","29","9,200","3","-","-","2015","도봉로76길 48","-","중개거래","서울 강북구","-"
"68","서울특별시 양천구 신정동","1157-18","1157","0018","대영빌라","37.4000","28.2500","202312","29","45,000","1","-","-","1991","중앙로29길 45-5","-","중개거래","서울 양천구","-"
"69","서울특별시 관악구 신림동","98-393","0098","0393","기풍복음빌라","75.2400","35.9200","202312","29","20,000","-1","-","-","1996","서림1길 71","-","직거래","-","-"
"70","서울특별시 동작구 사당동","280-1","0280","0001","엘파라시오8차","38.5700","27.5200","202312","29","32,800","3","-","-","2017","사당로14길 67","-","중개거래","서울 동작구","-"
"71","서울특별시 동작구 사당동","321-25","0321","0025","에덴빌","44.4000","30.1000","202312","29","53,000","2","-","-","2008","사당로22가길 12","-","중개거래","서울 동작구","-"
"72","서울특별시 동작구 사당동","419-152","0419","0152","CS하우스","34.6100","24.9800","202312","29","30,000","2","-","-","2014","남부순환로267가길 7","-","중개거래","서울 동작구","-"
"73","서울특별시 송파구 방이동","144-33","0144","0033","GB블루씨엘아파트","59.2500","39.4500","202312","29","60,000","2","-","-","2023","가락로39길 35","-","중개거래","서울 송파구","-"
"74","서울특별시 강서구 염창동","253-7","0253","0007","링크253","40.7400","19.2110","202312","29","40,000","3","-","-","2017","양천로75길 22-10","-","중개거래","서울 강서구","-"
"75","서울특별시 양천구 목동","318-178","0318","0178","효성빌라(318-178)","60.8150","29.3600","202312","29","24,000","5","-","-","2001","목동중앙본로17길 30","-","중개거래","서울 양천구","-"
"76","서울특별시 강동구 성내동","516-1","0516","0001","삼성아트빌(516-1)","42.2500","25.5650","202312","29","32,000","5","-","-","2012","천호대로170길 106-17","-","중개거래","서울 강동구","-"
"77","서울특별시 금천구 시흥동","867-21","0867","0021","월든메르디앙빌3","39.3900","17.3350","202312","29","14,000","5","-","-","2009","독산로35길 51","-","직거래","-","-"
"78","서울특별시 강동구 성내동","128-14","0128","0014","하우징허브","27.5200","16.0000","202312","29","19,500","3","-","-","2015","천호옛10길 6","-","중개거래","서울 강동구","-"
"79","서울특별시 서초구 방배동","870-31","0870","0031","방배블루힐","33.6300","20.5500","202312","29","34,000","4","-","-","2012","서초대로19길 15","-","중개거래","서울 서초구","-"
"80","서울특별시 금천구 시흥동","869-1","0869","0001","동호쉐르빌","34.5600","22.1400","202312","29","25,000","3","-","-","2007","시흥대로80길 4","-","중개거래","서울 금천구","-"
"81","서울특별시 강동구 성내동","436-5","0436","0005","한솔빌라트","61.1100","37.3250","202312","29","25,800","3","-","-","2002","강동대로51길 48-1","-","중개거래","서울 강동구","-"
"82","서울특별시 송파구 석촌동","234-15","0234","0015","복돌빌라","41.3000","20.4000","202312","29","30,300","4","-","-","2003","백제고분로34길 3-20","-","중개거래","서울 송파구","-"
"83","서울특별시 구로구 개봉동","335-20","0335","0020","한양빌라(335-20)","36.0000","26.4250","202312","29","7,000","1","-","-","1990","서해안로34가길 40","-","직거래","-","-"
"84","서울특별시 금천구 독산동","1046-22","1046","0022","한백아트(1046-22)","29.8100","22.5600","202312","29","23,700","6","-","-","2016","독산로49길 26","-","중개거래","서울 금천구","-"
"85","서울특별시 구로구 개봉동","316-12","0316","0012","신아맨션(316-12)","44.6200","26.4400","202312","29","15,500","1","-","-","2001","개봉로3가길 89","-","중개거래","서울 구로구","-"
"86","서울특별시 구로구 개봉동","산2-28","0002","0028","거성(가)","59.1000","21.7700","202312","29","14,500","3","-","-","1991","고척로21나길 88","-","중개거래","서울 구로구","-"
"87","서울특별시 관악구 신림동","646-213","0646","0213","(646-213)","42.1500","46.0000","202312","29","25,000","1","-","-","1980","난곡로26나길 29-8","-","직거래","-","-"
"88","서울특별시 관악구 신림동","685-175","0685","0175","중앙타운D동","30.3300","19.3750","202312","29","14,700","3","-","-","1997","난곡로11길 33","-","중개거래","서울 관악구","-"
"89","서울특별시 구로구 고척동","241-48","0241","0048","한양빌","55.8100","43.8400","202312","29","47,000","3","-","-","2021","고척로27다길 74","-","직거래","-","-"
"90","서울특별시 강서구 방화동","612","0612","0000","마곡킹덤펜타리움","23.5300","7.9400","202312","29","28,000","10","-","-","2021","개화동로27길 42","-","중개거래","서울 강서구","-"
"91","서울특별시 관악구 봉천동","635-607","0635","0607","CG아름채14차","22.9150","20.3100","202312","29","22,000","5","-","-","2021","국회단지12길 24","-","직거래","-","-"
"92","서울특별시 구로구 고척동","241-48","0241","0048","한양빌","54.0600","42.4600","202312","29","45,100","3","-","-","2021","고척로27다길 74","-","직거래","-","-"
"93","서울특별시 강서구 화곡동","56-260","0056","0260","화성빌라(56-260)","48.1200","21.1500","202312","29","12,600","-1","-","-","2001","초록마을로19길 19","-","중개거래","서울 강서구","-"
"94","서울특별시 송파구 문정동","106-3","0106","0003","창훈빌라(나동)","41.6700","28.8074","202312","29","25,000","-1","-","-","1988","새말로15길 16-13","-","중개거래","서울 송파구","-"
"95","서울특별시 관악구 신림동","610-204","0610","0204","우석빌라3차","36.8100","18.8900","202312","29","15,500","4","-","-","1993","법원단지12길 8","-","중개거래","서울 관악구","-"
"96","서울특별시 강서구 화곡동","917-2","0917","0002","하이트맨션(917-2)","48.9900","24.6700","202312","29","23,000","3","-","-","2001","월정로20길 94","-","직거래","-","-"
"97","서울특별시 강서구 화곡동","1041-18","1041","0018","에스케이파크리움101동102동","29.9700","18.2800","202312","29","32,900","2","-","-","2022","화곡로13나길 15","-","직거래","-","-"
"98","서울특별시 강서구 화곡동","1088-4","1088","0004","동도파크뷰(1088-4)","33.1400","19.8917","202312","29","20,000","4","-","-","2011","화곡로18길 44-39","-","중개거래","서울 강서구","-"
"99","서울특별시 강서구 화곡동","1088-4","1088","0004","동도파크뷰(1088-4)","33.1400","19.8917","202312","29","20,000","4","-","-","2011","화곡로18길 44-39","-","중개거래","서울 강서구","-"
"100","서울특별시 강서구 화곡동","1041-18","1041","0018","에스케이파크리움101동102동","29.9500","18.2700","202312","29","38,500","3","-","-","2022","화곡로13나길 15","-","직거래","-","-"
"101","서울특별시 강서구 화곡동","1041-18","1041","0018","에스케이파크리움101동102동","46.8700","28.6000","202312","29","45,000","4","-","-","2022","화곡로13나길 15","-","직거래","-","-"
"102","서울특별시 강서구 화곡동","151-8","0151","0008","힐타운(151-8)","46.2500","22.8200","202312","29","18,000","3","-","-","2002","강서로18아길 25-4","-","중개거래","서울 강서구","-"
"103","서울특별시 동작구 상도동","299-174","0299","0174","한마음빌","46.7500","24.2600","202312","29","20,500","4","-","-","2002","국사봉14길 29","20240115","중개거래","서울 동작구","-"
"104","서울특별시 동작구 사당동","419-152","0419","0152","CS하우스","17.0900","12.3400","202312","29","13,500","2","-","-","2014","남부순환로267가길 7","-","중개거래","서울 동작구","-"
"105","서울특별시 관악구 신림동","95-91","0095","0091","뷰테라스","29.9200","21.0200","202312","28","27,500","3","-","-","2020","쑥고개로2가길 15","-","직거래","-","-"
"106","서울특별시 강남구 역삼동","774-42","0774","0042","다솜","28.4800","17.4800","202312","28","58,300","2","-","-","2021","언주로69길 12","-","중개거래","서울 강남구","-"
"107","서울특별시 강서구 화곡동","460-8","0460","0008","그린파크(460-8)","45.4800","35.0200","202312","28","13,300","4","-","-","2007","곰달래로47길 119","-","중개거래","서울 강서구","-"
"108","서울특별시 강서구 화곡동","343-29","0343","0029","태경하이츠(343-29)","65.1800","32.0900","202312","28","15,800","-1","-","-","2000","곰달래로23길 23","-","직거래","-","-"
"109","서울특별시 관악구 봉천동","634-29","0634","0029","에덴빌라","49.0000","29.4700","202312","28","19,900","-1","-","-","1991","국회단지4길 20","-","중개거래","서울 관악구","-"
"110","서울특별시 강서구 화곡동","832-21","0832","0021","경희하우스","25.9300","17.5700","202312","28","20,000","6","-","-","2017","곰달래로47길 38","-","직거래","-","-"
"111","서울특별시 강서구 화곡동","958-4","0958","0004","신성연립","47.5500","29.1200","202312","28","18,500","3","-","-","1994","까치산로22길 17","-","중개거래","서울 강서구","-"
"112","서울특별시 서초구 방배동","804-8","0804","0008","hurstville","66.5500","42.1200","202312","28","60,000","1","-","-","2013","서초대로33길 100-6","-","직거래","-","-"
"113","서울특별시 서초구 방배동","826-1","0826","0001","삼성그린빌","47.8600","23.0100","202312","28","52,000","5","-","-","2002","동광로8길 19-4","-","중개거래","서울 서초구","-"
"114","서울특별시 서초구 방배동","332-6","0332","0006","신구아트빌라B동","58.1600","6.9329","202312","28","24,800","-1","-","-","1991","방배로23길 32-9","-","중개거래","서울 관악구","-"
"115","서울특별시 관악구 신림동","95-91","0095","0091","뷰테라스","29.9900","21.0700","202312","28","27,500","4","-","-","2020","쑥고개로2가길 15","-","직거래","-","-"
"116","서울특별시 금천구 독산동","1016","1016","0000","대광파크","29.9500","19.7540","202312","28","20,800","2","-","-","2012","시흥대로118길 22","-","중개거래","서울 금천구","-"
"117","서울특별시 관악구 봉천동","173-8","0173","0008","현대빌라","49.5300","41.6600","202312","28","19,700","-1","-","-","1990","인헌1다길 39","-","중개거래","서울 관악구","-"
"118","서울특별시 강서구 염창동","252-2","0252","0002","제니스알앤씨","29.0000","16.0000","202312","28","31,800","6","-","-","2017","양천로73가길 70","20240402","직거래","-","-"
"119","서울특별시 송파구 마천동","5-5","0005","0005","도시개발공사주택","35.6400","31.1300","202312","28","18,350","1","-","-","1991","거마로27길 11-1","-","직거래","-","-"
"120","서울특별시 송파구 마천동","13-6","0013","0006","부성빌라","31.0100","13.5000","202312","28","15,300","3","-","-","1997","거마로27길 44","-","중개거래","서울 송파구","-"
"121","서울특별시 송파구 풍납동","252-2","0252","0002","풍납휴먼빌","29.0200","20.1900","202312","28","23,000","3","-","-","2019","풍성로14길 15","-","직거래","-","-"
"122","서울특별시 서초구 방배동","541-125","0541","0125","(541-125)","41.8500","30.0000","202312","28","126,500","1","-","-","1992","효령로14길 51-3","-","중개거래","서울 서초구","-"
"123","서울특별시 송파구 방이동","211-14","0211","0014","포시즌하우스","54.8700","24.9200","202312","28","33,000","1","-","-","2002","오금로27길 50-21","-","중개거래","서울 서초구","-"
